Job ID: 47028450
Task:   direction
Pairs:  data/pairs_direction.jsonl
GPU:    Tesla V100-PCIE-16GB
Start:  Wed Apr 22 00:16:29 EDT 2026
trainable params: 10,092,544 || all params: 7,625,709,056 || trainable%: 0.1323
{'loss': 7.4277, 'grad_norm': nan, 'learning_rate': 9e-05, 'epoch': 0.05}
{'loss': 2.9603, 'grad_norm': 8.644224166870117, 'learning_rate': 0.00019, 'epoch': 0.09}
{'loss': 0.4955, 'grad_norm': 1.7356587648391724, 'learning_rate': 0.00019990423200364794, 'epoch': 0.14}
{'loss': 0.4011, 'grad_norm': 0.4976577162742615, 'learning_rate': 0.00019957341762950344, 'epoch': 0.18}
{'loss': 0.4897, 'grad_norm': 0.3929307460784912, 'learning_rate': 0.0001990071565984244, 'epoch': 0.23}
{'loss': 0.3521, 'grad_norm': 0.2805495858192444, 'learning_rate': 0.0001982067878648214, 'epoch': 0.27}
{'loss': 0.3496, 'grad_norm': 1.2238236665725708, 'learning_rate': 0.00019717420394325442, 'epoch': 0.32}
{'loss': 0.3392, 'grad_norm': 0.35027754306793213, 'learning_rate': 0.0001959118464334809, 'epoch': 0.36}
{'loss': 0.4401, 'grad_norm': 0.7360678911209106, 'learning_rate': 0.00019442270024716313, 'epoch': 0.41}
{'loss': 0.3584, 'grad_norm': 0.2251361459493637, 'learning_rate': 0.0001927102865498852, 'epoch': 0.45}
{'loss': 0.3759, 'grad_norm': 2.674250841140747, 'learning_rate': 0.00019077865443516948, 'epoch': 0.5}
{'loss': 0.351, 'grad_norm': 0.37532883882522583, 'learning_rate': 0.00018863237135017865, 'epoch': 0.54}
{'loss': 0.3546, 'grad_norm': 0.6261289119720459, 'learning_rate': 0.00018627651229574354, 'epoch': 0.59}
{'loss': 0.3719, 'grad_norm': 0.8304912447929382, 'learning_rate': 0.00018371664782625287, 'epoch': 0.63}
{'loss': 0.3674, 'grad_norm': 0.0643954798579216, 'learning_rate': 0.00018095883087778029, 'epoch': 0.68}
{'loss': 0.3532, 'grad_norm': 0.6304544806480408, 'learning_rate': 0.00017800958245559425, 'epoch': 0.72}
{'loss': 0.3551, 'grad_norm': 0.3299899697303772, 'learning_rate': 0.00017487587621489308, 'epoch': 0.77}
{'loss': 0.3462, 'grad_norm': 0.14742453396320343, 'learning_rate': 0.0001715651219712255, 'epoch': 0.81}
{'loss': 0.3589, 'grad_norm': 0.42452648282051086, 'learning_rate': 0.0001680851481795864, 'epoch': 0.86}
{'loss': 0.3492, 'grad_norm': 0.15463228523731232, 'learning_rate': 0.00016444418342361766, 'epoch': 0.9}
{'loss': 0.3478, 'grad_norm': 0.17880508303642273, 'learning_rate': 0.00016065083695868292, 'epoch': 0.95}
{'loss': 0.3541, 'grad_norm': 0.36746591329574585, 'learning_rate': 0.00015671407835482425, 'epoch': 0.99}
{'eval_loss': 0.34916168451309204, 'eval_runtime': 132.3093, 'eval_samples_per_second': 1.489, 'eval_steps_per_second': 1.489, 'epoch': 1.0}
{'loss': 0.3494, 'grad_norm': 0.21352224051952362, 'learning_rate': 0.0001526432162877356, 'epoch': 1.04}
{'loss': 0.3503, 'grad_norm': 0.06892742216587067, 'learning_rate': 0.00014844787652790216, 'epoch': 1.08}
{'loss': 0.3465, 'grad_norm': 0.2443523406982422, 'learning_rate': 0.000144137979179953, 'epoch': 1.13}
{'loss': 0.3443, 'grad_norm': 0.11689754575490952, 'learning_rate': 0.00013972371522604448, 'epoch': 1.17}
{'loss': 0.3485, 'grad_norm': 0.36494094133377075, 'learning_rate': 0.00013521552242873924, 'epoch': 1.22}
